study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB41565	SAMEA7725442	ERX4811005	ERR5001722	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001722/ERR5001722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001722/ERR5001722_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001722/HI.4789.001.IDT_i7_1---IDT_i5_1.20170521_SI8_313_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001722/HI.4789.001.IDT_i7_1---IDT_i5_1.20170521_SI8_313_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725449	ERX4814435	ERR5005152	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5005152/ERR5005152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5005152/ERR5005152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005152/HI.4789.001.IDT_i7_85---IDT_i5_85.20170809_SI3_771_470m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005152/HI.4789.001.IDT_i7_85---IDT_i5_85.20170809_SI3_771_470m_R2.fastq.gz	
PRJEB41565	SAMEA7725443	ERX4814436	ERR5005153	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005153/ERR5005153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5005153/ERR5005153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005153/HI.4789.001.IDT_i7_13---IDT_i5_13.20170521_SI8_313_1045m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005153/HI.4789.001.IDT_i7_13---IDT_i5_13.20170521_SI8_313_1045m_R2.fastq.gz	
PRJEB41565	SAMEA7725450	ERX4814643	ERR5005336	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5005336/ERR5005336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5005336/ERR5005336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005336/HI.4789.001.IDT_i7_2---IDT_i5_2.20170809_SI8_761_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005336/HI.4789.001.IDT_i7_2---IDT_i5_2.20170809_SI8_761_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725451	ERX4814927	ERR5005971	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5005971/ERR5005971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5005971/ERR5005971_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005971/HI.4789.001.IDT_i7_14---IDT_i5_14.20170809_SI8_761_1045m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005971/HI.4789.001.IDT_i7_14---IDT_i5_14.20170809_SI8_761_1045m_R2.fastq.gz	
PRJEB41565	SAMEA7725444	ERX4814928	ERR5005972	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5005972/ERR5005972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5005972/ERR5005972_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005972/HI.4789.001.IDT_i7_25---IDT_i5_25.20170522_SI3_319_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005972/HI.4789.001.IDT_i7_25---IDT_i5_25.20170522_SI3_319_0m_R2.fastq.gz	
PRJEB41565	SAMEA7728046	ERX4814943	ERR5005987	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5005987/ERR5005987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5005987/ERR5005987_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005987/HI.4967.004.IDT_i7_147---IDT_i5_147.20181201_MC1_000_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005987/HI.4967.004.IDT_i7_147---IDT_i5_147.20181201_MC1_000_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725452	ERX4814944	ERR5005988	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5005988/ERR5005988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5005988/ERR5005988_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005988/HI.4789.001.IDT_i7_26---IDT_i5_26.20170818_SB2_835_0m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5005988/HI.4789.001.IDT_i7_26---IDT_i5_26.20170818_SB2_835_0m_R2.fastq.gz	
PRJEB41565	SAMEA7725453	ERX4814953	ERR5006021	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5006021/ERR5006021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5006021/ERR5006021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006021/HI.4789.001.IDT_i7_29---IDT_i5_29.20170818_SB2_835_90m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006021/HI.4789.001.IDT_i7_29---IDT_i5_29.20170818_SB2_835_90m_R2.fastq.gz	
PRJEB41565	SAMEA7725435	ERX4815005	ERR5006073	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5006073/ERR5006073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5006073/ERR5006073_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006073/HI.4967.004.IDT_i7_109---IDT_i5_109.20150523_SI8_250_1045m_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5006073/HI.4967.004.IDT_i7_109---IDT_i5_109.20150523_SI8_250_1045m_R2.fastq.gz	
