gene_callers_id	source	accession	function	e_value
0	COG20_FUNCTION	COG1651	Protein thiol-disulfide isomerase DsbC (DsbG) (PDB:2HI7)	3.3e-43
0	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
12	COG20_FUNCTION	COG0210	Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)	6.9e-58
12	COG20_CATEGORY	L	Replication, recombination and repair	0
14	COG20_FUNCTION	COG4643	Uncharacterized domain associated with phage/plasmid primase	9.1e-17
14	COG20_CATEGORY	X	Mobilome: prophages, transposons	0
15	COG20_FUNCTION	COG0633	Ferredoxin (Fdx) (PDB:1KRH)	2.1e-08
15	COG20_CATEGORY	C	Energy production and conversion	0
19	COG20_FUNCTION	COG2826	Transposase and inactivated derivatives, IS30 family (Tra8)	4.7e-16
19	COG20_CATEGORY	X	Mobilome: prophages, transposons	0
24	COG20_FUNCTION	COG2977	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis) (EntD) (PDB:4QJK)	8e-50
24	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
25	COG20_FUNCTION	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)	2.2e-08
25	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
26	COG20_FUNCTION	COG0236!!!COG1020	Acyl carrier protein (AcpP) (PDB:1ACP)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	0
26	COG20_CATEGORY	I!!!Q	Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0
26	COG20_PATHWAY	COG0236!!!COG1020	Fatty acid biosynthesis	0
27	COG20_FUNCTION	COG0236!!!COG1020	Acyl carrier protein (AcpP) (PDB:1ACP)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	0
27	COG20_CATEGORY	I!!!Q	Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0
27	COG20_PATHWAY	COG0236!!!COG1020	Fatty acid biosynthesis	0
29	COG20_FUNCTION	COG3555	Aspartyl/asparaginyl beta-hydroxylase, cupin superfamily (LpxO2)	3.6e-50
29	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
30	COG20_FUNCTION	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)	9.2e-52
30	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
31	COG20_FUNCTION	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	0
31	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
32	COG20_FUNCTION	COG0236!!!COG1020!!!COG3319!!!COG4908	Acyl carrier protein (AcpP) (PDB:1ACP)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)!!!Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain	1.1e-123
32	COG20_CATEGORY	I!!!Q!!!Q!!!R	Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!General function prediction only	0
32	COG20_PATHWAY	COG0236!!!COG1020!!!COG3319!!!COG4908	Fatty acid biosynthesis	1.1e-123
33	COG20_FUNCTION	COG0236!!!COG2226!!!COG3321	Acyl carrier protein (AcpP) (PDB:1ACP)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)	6.8e-160
33	COG20_CATEGORY	I!!!H!!!Q	Lipid transport and metabolism!!!Coenzyme transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0
33	COG20_PATHWAY	COG0236!!!COG2226!!!COG3321	Fatty acid biosynthesis!!!Biotin biosynthesis	6.8e-160
34	COG20_FUNCTION	COG1020!!!COG3320!!!COG4908	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Thioester reductase domain of alpha aminoadipate reductase Lys2 and NRPSs (Lys2b) (PDB:5MSP)!!!Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain	1e-31
34	COG20_CATEGORY	Q!!!Q!!!R	Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!General function prediction only	0
34	COG20_PATHWAY	COG1020!!!COG3320!!!COG4908	Lysine biosynthesis	1e-31
35	COG20_FUNCTION	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)	8.5e-53
35	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
36	COG20_FUNCTION	COG0236!!!COG0318!!!COG1020!!!COG2141!!!COG3319!!!COG3321!!!COG4908	Acyl carrier protein (AcpP) (PDB:1ACP)!!!O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)!!!Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain	2e-84
36	COG20_CATEGORY	I!!!I!!!Q!!!H!!!R!!!Q!!!Q!!!R	Lipid transport and metabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!Coenzyme transport and metabolism!!!General function prediction only!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism!!!General function prediction only	0
36	COG20_PATHWAY	COG0236!!!COG0318!!!COG1020!!!COG2141!!!COG3319!!!COG3321!!!COG4908	Fatty acid biosynthesis!!!Menaquinone biosynthesis!!!Pyrimidine degradation	2e-84
38	COG20_FUNCTION	COG2850	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain (RoxA) (PDB:1VRB)	2.7e-34
38	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
39	COG20_FUNCTION	COG0236!!!COG0778!!!COG1020!!!COG3319	Acyl carrier protein (AcpP) (PDB:1ACP)!!!Nitroreductase (NfnB) (PDB:1F5V)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)	2.1e-310
39	COG20_CATEGORY	I!!!C!!!Q!!!Q	Lipid transport and metabolism!!!Energy production and conversion!!!Secondary metabolites biosynthesis, transport and catabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0
39	COG20_PATHWAY	COG0236!!!COG0778!!!COG1020!!!COG3319	Fatty acid biosynthesis!!!Pyrimidine degradation	2.1e-310
40	COG20_FUNCTION	COG3251	MbtH family protein, regulates adenylation domains of NRPSs (MbtH) (PDB:2GPF) (PUBMED:21890635;29921120)	2.6e-16
40	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
42	COG20_FUNCTION	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	7.4e-08
42	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
43	COG20_FUNCTION	COG2366	Acyl-homoserine lactone (AHL) acylase PvdQ (PvdQ) (PDB:4HST)	1e-165
43	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
44	COG20_FUNCTION	COG4615	ABC-type siderophore export system, fused ATPase and permease components (PvdE)	1.8e-135
44	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
45	COG20_FUNCTION	COG5310	Homospermidine synthase (PDB:4XQ9)	1e-112
45	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
46	COG20_FUNCTION	COG0236!!!COG0318!!!COG1020	Acyl carrier protein (AcpP) (PDB:1ACP)!!!O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	0
46	COG20_CATEGORY	I!!!I!!!Q	Lipid transport and metabolism!!!Lipid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism	0
46	COG20_PATHWAY	COG0236!!!COG0318!!!COG1020	Fatty acid biosynthesis!!!Menaquinone biosynthesis	0
47	COG20_FUNCTION	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	2.1e-38
47	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
48	COG20_FUNCTION	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)	2.6e-41
48	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
49	COG20_FUNCTION	COG3208	Surfactin synthase thioesterase subunit (GrsT) (PDB:6VAP)	6.6e-58
49	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
52	COG20_FUNCTION	COG4680	mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module (HigB) (PDB:5IFG)	8.2e-44
52	COG20_CATEGORY	J!!!V	Translation, ribosomal structure and biogenesis!!!Defense mechanisms	0
53	COG20_FUNCTION	COG5499	Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain (HigA)	1.3e-42
53	COG20_CATEGORY	V	Defense mechanisms	0
63	COG20_FUNCTION	COG4469	Competence protein CoiA, contains predicted nuclease domain (CoiA)	1.4e-42
63	COG20_CATEGORY	R	General function prediction only	0
69	COG20_FUNCTION	COG0203	Ribosomal protein L17 (RplQ) (PDB:1GD8)	4.1e-20
69	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
69	COG20_PATHWAY	COG0203	Ribosome 50S subunit	4.1e-20
70	COG20_FUNCTION	COG5610	Predicted sugar hydrolase, contains GT1 and HAD domains (PDB:1YYC)	6.6e-08
70	COG20_CATEGORY	R	General function prediction only	0
71	COG20_FUNCTION	COG1011!!!COG3754	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)!!!Lipopolysaccharide biosynthesis protein (RgpF)	2.1e-217
71	COG20_CATEGORY	H!!!M	Coenzyme transport and metabolism!!!Cell wall/membrane/envelope biogenesis	0
74	COG20_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	6.5e-37
74	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
77	COG20_FUNCTION	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat (PQQ) (PDB:6TJG)	3.5e-08
77	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
83	COG20_FUNCTION	COG1864	DNA/RNA endonuclease G, NUC1 (NUC1) (PDB:1G8T)	4e-06
83	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
85	COG20_FUNCTION	COG0438!!!COG1216	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	1.5e-69
85	COG20_CATEGORY	M!!!G	Cell wall/membrane/envelope biogenesis!!!Carbohydrate transport and metabolism	0
86	COG20_FUNCTION	COG0438!!!COG1216	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	9.2e-74
86	COG20_CATEGORY	M!!!G	Cell wall/membrane/envelope biogenesis!!!Carbohydrate transport and metabolism	0
